13.03.2014 11:29:36.643 //-------------- 13.03.2014 11:29:36 -------------------------
13.03.2014 11:29:36.657 Configuration XML has been opened ... 
13.03.2014 11:29:36.666 Try to get Configuretion info...
13.03.2014 11:29:36.666 host: www.forwardmobile.ru.....OK
13.03.2014 11:29:36.666 user: terminals......OK
13.03.2014 11:29:36.667 password: terminals1357.....OK
13.03.2014 11:29:36.667 Connecting to: www.forwardmobile.ru | terminals | terminals1357 | ... OK 
13.03.2014 11:29:36.669 Terminate process DPSKiosk.exe success.
13.03.2014 11:29:36.672 Terminate process DPSCom.exe success.
13.03.2014 11:29:36.789 Соединение с сервером ...Успешно
13.03.2014 11:29:36.790 Connected to: www.forwardmobile.ru
13.03.2014 11:29:41.063 Проверка обновления...started
13.03.2014 11:29:41.076 Совпали: f2f67ef641a35a6a67cbe794cb077768 *Webclient\20120530-ct.cer и 0d65cf7f36c1c360823bb67e8f1a3267 *Webclient\document.txt
13.03.2014 11:29:41.076 Совпали: 885e9eb42889ca547f4e3515dcde5d3d *Webclient\7z.exe и 0d65cf7f36c1c360823bb67e8f1a3267 *Webclient\document.txt
13.03.2014 11:29:41.076 Совпали: 17bddadca7044cc7b8406f1ca45210df *Webclient\7za.dll и 0d65cf7f36c1c360823bb67e8f1a3267 *Webclient\document.txt
13.03.2014 11:29:41.076 Совпали: 1a8ff3e97493b9f57748f3c31e6e14c8 *Webclient\ASKOPM_KIOSK.dll и 0d65cf7f36c1c360823bb67e8f1a3267 *Webclient\document.txt
13.03.2014 11:29:41.076 Совпали: d41d8cd98f00b204e9800998ecf8427e *Webclient\AtolPrinter.pcr и 0d65cf7f36c1c360823bb67e8f1a3267 *Webclient\document.txt
13.03.2014 11:29:41.076 Совпали: 90a44e0e4b14a4a5d839f8fc48030af5 *Webclient\Azimuth.dll и 0d65cf7f36c1c360823bb67e8f1a3267 *Webclient\document.txt
13.03.2014 11:29:41.076 Совпали: 4793b32cf8ddf285a78f0ba78e122f90 *Webclient\bcbie60.bpl и 0d65cf7f36c1c360823bb67e8f1a3267 *Webclient\document.txt
13.03.2014 11:29:41.076 Совпали: bfc82d93a05444aa8c7697722d4e7c1f *Webclient\beeline.bat и 0d65cf7f36c1c360823bb67e8f1a3267 *Webclient\document.txt
13.03.2014 11:29:41.076 Совпали: 8de680b3e881fc8ec8f8c8b10716fbbc *Webclient\Beta.7z и 0d65cf7f36c1c360823bb67e8f1a3267 *Webclient\document.txt
13.03.2014 11:29:41.076 Совпали: 129608098b4bca257cfc3f524e5ce05a *Webclient\borlndmm.dll и 0d65cf7f36c1c360823bb67e8f1a3267 *Webclient\document.txt
13.03.2014 11:29:41.076 Совпали: 1d9ad5040c5a901108ca0328aff82fc3 *Webclient\cc3260mt.dll и 0d65cf7f36c1c360823bb67e8f1a3267 *Webclient\document.txt
13.03.2014 11:29:41.076 Совпали: 63c67ea91af5d2b46f676d1d002eabab *Webclient\cg32.dll и 0d65cf7f36c1c360823bb67e8f1a3267 *Webclient\document.txt
13.03.2014 11:29:41.076 Совпали: 8f3701c38513f88060e985db3083f883 *Webclient\config\Checkues.csv и 0d65cf7f36c1c360823bb67e8f1a3267 *Webclient\document.txt
13.03.2014 11:29:41.076 Совпали: 24b89e0d902e16f963cc0083068d3df7 *Webclient\config\config.error и 0d65cf7f36c1c360823bb67e8f1a3267 *Webclient\document.txt
13.03.2014 11:29:41.076 Совпали: 05d53f27e59806b94213fb37af0ff7f6 *Webclient\config\config.lastgood и 0d65cf7f36c1c360823bb67e8f1a3267 *Webclient\document.txt
13.03.2014 11:29:41.076 Совпали: 05d53f27e59806b94213fb37af0ff7f6 *Webclient\config\config.xml и 0d65cf7f36c1c360823bb67e8f1a3267 *Webclient\document.txt
13.03.2014 11:29:41.076 Совпали: 0405170f66154f87013c1788bfd670ac *Webclient\config\config.xml.bak и 0d65cf7f36c1c360823bb67e8f1a3267 *Webclient\document.txt
13.03.2014 11:29:41.076 Совпали: b79780d3aa9d08c70c7ba6b897ddce16 *Webclient\config\config.~xml и 0d65cf7f36c1c360823bb67e8f1a3267 *Webclient\document.txt
13.03.2014 11:29:41.077 Совпали: f465c0d5140b94b9c2c79f29fe7c76c2 *Webclient\config\config1.xml и 0d65cf7f36c1c360823bb67e8f1a3267 *Webclient\document.txt
13.03.2014 11:29:41.077 Совпали: 412ad613103abf9279997f54fb8a9cef *Webclient\config\config44.xml и 0d65cf7f36c1c360823bb67e8f1a3267 *Webclient\document.txt
13.03.2014 11:29:41.077 Совпали: 4cf4f2ef2d9f2d0f3bf7526404f0b1df *Webclient\config\copychecks.csv и 0d65cf7f36c1c360823bb67e8f1a3267 *Webclient\document.txt
13.03.2014 11:29:41.077 Совпали: bbc1e6a12cd4772d593102b6d3c61ee5 *Webclient\config\Details.xml и 0d65cf7f36c1c360823bb67e8f1a3267 *Webclient\document.txt
13.03.2014 11:29:41.077 Совпали: 13950ecc957aebd8fdb7df3b16fd8453 *Webclient\config\KinoFolders.ini и 0d65cf7f36c1c360823bb67e8f1a3267 *Webclient\document.txt
13.03.2014 11:29:41.077 Совпали: 9fbb9f8ee27e298c89f642b282def8dd *Webclient\config\md5.txt и 0d65cf7f36c1c360823bb67e8f1a3267 *Webclient\document.txt
13.03.2014 11:29:41.077 Совпали: 839bf24354edc91dd0c419917f0c004f *Webclient\config\operators.error и 0d65cf7f36c1c360823bb67e8f1a3267 *Webclient\document.txt
